order_item_id,order_id,product_id,quantity,unit_price,total_price
OI000001,O001446,P00079,1,197.91,197.91
OI000002,O000954,P00034,4,320.65,1282.6
OI000003,O000264,P00044,2,62.48,124.96
OI000004,O001407,P00073,4,91.53,366.12
OI000005,O001931,P00096,1,404.73,404.73
OI000006,O001129,P00012,1,161.18,161.18
OI000007,O000543,P00067,1,317.37,317.37
OI000008,O001982,P00084,5,322.18,1610.9
OI000009,O000626,P00017,4,453.63,1814.52
OI000010,O001130,P00053,4,258.62,1034.48
OI000011,O001270,P00073,5,275.34,1376.7
OI000012,O000424,P00001,3,206.5,619.5
OI000013,O001479,P00030,2,226.52,453.04
OI000014,O000881,P00017,3,353.79,1061.37
OI000015,O001775,P00050,5,27.6,138.0
OI000016,O000191,P00044,1,377.71,377.71
OI000017,O001707,P00016,2,108.62,217.24
OI000018,O000782,P00050,1,111.38,111.38
OI000019,O000705,P00080,5,338.02,1690.1
OI000020,O001376,P00001,2,299.67,599.34
OI000021,O000898,P00056,2,295.39,590.78
OI000022,O001263,P00036,5,479.9,2399.5
OI000023,O000539,P00031,3,279.36,838.08
OI000024,O000413,P00022,3,426.28,1278.84
OI000025,O001894,P00021,2,428.17,856.34
OI000026,O001596,P00079,2,207.26,414.52
OI000027,O000456,P00023,5,126.31,631.55
OI000028,O000842,P00064,4,111.22,444.88
OI000029,O001370,P00029,3,423.64,1270.92
OI000030,O001750,P00035,5,496.29,2481.45
OI000031,O001420,P00029,2,400.04,800.08
OI000032,O001505,P00047,1,219.67,219.67
OI000033,O000628,P00051,3,417.55,1252.65
OI000034,O000294,P00009,4,249.3,997.2
OI000035,O001512,P00049,3,439.5,1318.5
OI000036,O000346,P00097,4,377.3,1509.2
OI000037,O001084,P00025,3,401.18,1203.54
OI000038,O001170,P00034,5,197.11,985.55
OI000039,O000201,P00027,3,302.05,906.15
OI000040,O001134,P00022,1,23.01,23.01
OI000041,O000248,P00057,2,246.54,493.08
OI000042,O001188,P00072,2,16.93,33.86
OI000043,O000827,P00066,4,148.33,593.32
OI000044,O000527,P00060,3,202.77,608.31
OI000045,O001692,P00010,5,327.27,1636.35
OI000046,O000667,P00044,5,121.6,608.0
OI000047,O000541,P00026,3,60.24,180.72
OI000048,O001899,P00005,2,216.83,433.66
OI000049,O001270,P00034,1,179.19,179.19
OI000050,O001670,P00031,4,300.62,1202.48
OI000051,O001778,P00022,5,462.47,2312.35
OI000052,O000223,P00044,1,341.51,341.51
OI000053,O000495,P00034,3,331.28,993.84
OI000054,O001863,P00038,2,281.9,563.8
OI000055,O001478,P00052,3,171.33,513.99
OI000056,O001101,P00028,5,203.18,1015.9
OI000057,O000346,P00022,3,372.56,1117.68
OI000058,O000310,P00009,1,268.71,268.71
OI000059,O000258,P00043,3,489.33,1467.99
OI000060,O000642,P00096,3,233.34,700.02
OI000061,O000426,P00015,4,441.67,1766.68
OI000062,O001276,P00034,3,443.21,1329.63
OI000063,O001067,P00051,3,99.78,299.34
OI000064,O001978,P00001,5,468.2,2341.0
OI000065,O001427,P00098,2,133.43,266.86
OI000066,O000318,P00057,2,264.58,529.16
OI000067,O001855,P00058,2,176.84,353.68
OI000068,O000300,P00016,3,182.2,546.6
OI000069,O000791,P00039,5,296.62,1483.1
OI000070,O001822,P00051,5,83.97,419.85
OI000071,O000835,P00057,1,165.29,165.29
OI000072,O001315,P00095,2,243.65,487.3
OI000073,O001127,P00010,4,251.6,1006.4
OI000074,O001337,P00042,1,299.58,299.58
OI000075,O000277,P00078,4,446.63,1786.52
OI000076,O000784,P00041,1,85.16,85.16
OI000077,O000364,P00050,5,376.71,1883.55
OI000078,O001672,P00020,1,221.0,221.0
OI000079,O000182,P00016,2,78.71,157.42
OI000080,O000135,P00068,2,282.5,565.0
OI000081,O000796,P00038,3,27.37,82.11
OI000082,O001008,P00033,4,209.9,839.6
OI000083,O000545,P00013,4,306.86,1227.44
OI000084,O001197,P00063,5,139.57,697.85
OI000085,O000572,P00070,3,270.35,811.05
OI000086,O001681,P00090,1,22.67,22.67
OI000087,O001144,P00029,4,489.57,1958.28
OI000088,O000616,P00047,3,215.5,646.5
OI000089,O000486,P00002,2,328.64,657.28
OI000090,O000737,P00036,1,65.66,65.66
OI000091,O001106,P00026,2,102.69,205.38
OI000092,O000073,P00022,1,436.6,436.6
OI000093,O001923,P00037,2,78.3,156.6
OI000094,O000204,P00010,3,213.25,639.75
OI000095,O001172,P00002,4,192.73,770.92
OI000096,O001836,P00012,3,292.57,877.71
OI000097,O001218,P00089,3,350.58,1051.74
OI000098,O000558,P00088,5,338.39,1691.95
OI000099,O000060,P00018,4,158.87,635.48
OI000100,O001678,P00036,1,301.83,301.83
OI000101,O001562,P00080,4,440.55,1762.2
OI000102,O000040,P00084,3,62.15,186.45
OI000103,O001482,P00034,2,163.79,327.58
OI000104,O001086,P00053,3,285.09,855.27
OI000105,O000962,P00020,3,238.71,716.13
OI000106,O001565,P00051,3,33.93,101.79
OI000107,O001655,P00004,3,403.99,1211.97
OI000108,O001448,P00011,1,79.01,79.01
OI000109,O000883,P00060,1,91.97,91.97
OI000110,O001661,P00012,3,67.59,202.77
OI000111,O001121,P00076,1,417.25,417.25
OI000112,O001820,P00011,2,355.08,710.16
OI000113,O001707,P00046,5,309.73,1548.65
OI000114,O001746,P00098,3,388.8,1166.4
OI000115,O000789,P00009,2,436.88,873.76
OI000116,O001567,P00089,4,24.71,98.84
OI000117,O000186,P00086,4,167.42,669.68
OI000118,O000759,P00005,1,175.8,175.8
OI000119,O000589,P00033,3,301.79,905.37
OI000120,O001263,P00070,2,13.45,26.9
OI000121,O001199,P00003,5,78.72,393.6
OI000122,O000653,P00084,4,357.12,1428.48
