order_id,customer_id,order_date,status
O000001,C00341,2025-10-15,Completed
O000002,C00161,2026-05-15,Pending
O000003,C00471,2025-06-28,Pending
O000004,C00357,2024-08-29,Completed
O000005,C00313,2024-10-15,Completed
O000006,C00486,2025-10-26,Pending
O000007,C00370,2025-08-06,Cancelled
O000008,C00145,2025-07-28,Completed
O000009,C00200,2026-03-09,Pending
O000010,C00391,2026-03-26,Completed
O000011,C00324,2025-02-23,Pending
O000012,C00198,2025-12-23,Completed
O000013,C00427,2026-01-29,Cancelled
O000014,C00099,2026-05-31,Pending
O000015,C00454,2025-11-28,Pending
O000016,C00161,2025-08-20,Cancelled
O000017,C00155,2026-03-16,Completed
O000018,C00261,2025-08-13,Pending
O000019,C00383,2026-07-20,Completed
O000020,C00270,2025-03-03,Completed
O000021,C00224,2025-10-13,Cancelled
O000022,C00290,2026-02-15,Completed
O000023,C00273,2025-03-26,Pending
O000024,C00308,2025-02-05,Completed
O000025,C00235,2024-12-14,Pending
O000026,C00214,2024-12-03,Cancelled
O000027,C00287,2025-07-24,Pending
O000028,C00427,2025-09-17,Pending
O000029,C00134,2026-03-05,Pending
O000030,C00152,2025-09-29,Cancelled
O000031,C00374,2024-08-21,Cancelled
O000032,C00388,2025-03-01,Pending
O000033,C00279,2026-02-05,Pending
O000034,C00064,2025-02-07,Completed
O000035,C00141,2025-07-30,Completed
O000036,C00316,2025-03-05,Completed
O000037,C00186,2026-05-21,Cancelled
O000038,C00042,2026-05-03,Pending
O000039,C00014,2026-04-29,Pending
O000040,C00231,2026-08-03,Completed
O000041,C00471,2024-08-20,Pending
O000042,C00386,2026-01-25,Pending
O000043,C00352,2025-01-08,Pending
O000044,C00204,2026-01-21,Cancelled
O000045,C00311,2025-09-04,Completed
O000046,C00399,2025-09-30,Completed
O000047,C00230,2024-09-24,Pending
O000048,C00402,2026-03-30,Cancelled
O000049,C00218,2026-01-17,Completed
O000050,C00118,2025-08-28,Cancelled
O000051,C00211,2025-02-07,Pending
O000052,C00204,2025-02-13,Completed
O000053,C00053,2026-03-01,Cancelled
O000054,C00080,2026-05-21,Cancelled
O000055,C00424,2026-02-11,Pending
O000056,C00252,2025-10-01,Pending
O000057,C00184,2025-11-09,Pending
O000058,C00018,2024-11-16,Completed
O000059,C00205,2024-09-18,Cancelled
O000060,C00106,2025-05-16,Cancelled
O000061,C00080,2024-10-06,Pending
O000062,C00282,2024-09-29,Completed
O000063,C00224,2025-06-03,Completed
O000064,C00180,2025-03-23,Pending
O000065,C00071,2025-09-03,Completed
O000066,C00385,2026-02-26,Pending
O000067,C00291,2025-02-26,Completed
O000068,C00049,2026-07-27,Cancelled
O000069,C00118,2026-01-15,Pending
O000070,C00247,2026-04-20,Completed
O000071,C00361,2025-11-23,Completed
O000072,C00360,2025-11-11,Pending
O000073,C00294,2025-09-15,Pending
O000074,C00225,2026-05-26,Pending
O000075,C00156,2024-11-17,Pending
O000076,C00376,2026-07-11,Cancelled
O000077,C00366,2026-07-07,Pending
O000078,C00369,2025-04-14,Completed
O000079,C00263,2026-03-28,Pending
O000080,C00355,2025-05-16,Cancelled
O000081,C00320,2025-01-19,Cancelled
O000082,C00173,2024-12-28,Pending
O000083,C00213,2025-08-10,Cancelled
O000084,C00382,2026-04-05,Completed
O000085,C00446,2025-05-24,Pending
O000086,C00276,2026-01-08,Cancelled
O000087,C00286,2026-05-10,Pending
O000088,C00492,2026-05-09,Completed
