payment_id,order_id,payment_method,payment_status,payment_date
PAY000001,O000001,Cash,Failed,2025-05-09
PAY000002,O000002,PromptPay,Paid,2026-04-29
PAY000003,O000003,PromptPay,Failed,2025-02-04
PAY000004,O000004,Credit Card,Paid,2025-03-02
PAY000005,O000005,Credit Card,Failed,2026-07-09
PAY000006,O000006,Credit Card,Pending,2026-02-26
PAY000007,O000007,Credit Card,Paid,2025-06-27
PAY000008,O000008,Credit Card,Failed,2025-06-04
PAY000009,O000009,PromptPay,Paid,2025-02-15
PAY000010,O000010,Cash,Failed,2026-07-29
PAY000011,O000011,PromptPay,Pending,2025-09-10
PAY000012,O000012,Cash,Failed,2024-11-20
PAY000013,O000013,PromptPay,Failed,2025-01-19
PAY000014,O000014,Bank Transfer,Pending,2024-12-14
PAY000015,O000015,Cash,Paid,2026-04-22
PAY000016,O000016,PromptPay,Failed,2026-03-09
PAY000017,O000017,Credit Card,Failed,2026-06-14
PAY000018,O000018,Credit Card,Pending,2024-12-21
PAY000019,O000019,PromptPay,Failed,2026-07-19
PAY000020,O000020,Credit Card,Pending,2026-01-09
PAY000021,O000021,Credit Card,Failed,2025-03-02
PAY000022,O000022,Bank Transfer,Paid,2024-12-22
PAY000023,O000023,Bank Transfer,Paid,2026-04-26
PAY000024,O000024,PromptPay,Paid,2025-03-25
PAY000025,O000025,Cash,Paid,2025-07-21
PAY000026,O000026,Bank Transfer,Pending,2025-07-27
PAY000027,O000027,PromptPay,Failed,2025-04-18
PAY000028,O000028,PromptPay,Paid,2024-11-04
PAY000029,O000029,Bank Transfer,Pending,2025-06-01
PAY000030,O000030,Credit Card,Paid,2026-01-10
PAY000031,O000031,Credit Card,Pending,2026-01-14
PAY000032,O000032,Credit Card,Failed,2025-09-02
PAY000033,O000033,PromptPay,Paid,2024-10-24
PAY000034,O000034,Credit Card,Paid,2024-11-27
PAY000035,O000035,Bank Transfer,Failed,2025-09-29
PAY000036,O000036,Bank Transfer,Paid,2026-06-14
PAY000037,O000037,Credit Card,Paid,2024-10-06
PAY000038,O000038,Cash,Failed,2024-08-02
PAY000039,O000039,Credit Card,Paid,2025-03-21
PAY000040,O000040,Cash,Pending,2025-04-28
PAY000041,O000041,Cash,Failed,2024-11-06
PAY000042,O000042,Bank Transfer,Failed,2024-12-14
PAY000043,O000043,Credit Card,Paid,2025-08-21
PAY000044,O000044,Bank Transfer,Failed,2025-11-04
PAY000045,O000045,Cash,Failed,2025-11-16
PAY000046,O000046,Bank Transfer,Pending,2025-02-13
PAY000047,O000047,Bank Transfer,Paid,2025-04-23
PAY000048,O000048,Credit Card,Pending,2025-08-15
