product_id,product_name,category,price
P00001,Wife Product,Sports,254.23
P00002,Opportunity Product,Home,300.45
P00003,Hot Product,Fashion,45.84
P00004,Big Product,Sports,209.64
P00005,Operation Product,Fashion,405.42
P00006,Democratic Product,Fashion,436.09
P00007,Religious Product,Home,249.18
P00008,Between Product,Fashion,190.69
P00009,Already Product,Home,232.44
P00010,Along Product,Home,162.35
P00011,Tend Product,Fashion,120.48
P00012,Low Product,Beauty,398.76
P00013,Reveal Product,Beauty,311.22
P00014,Plant Product,Sports,187.23
P00015,Place Product,Electronics,451.99
P00016,Second Product,Electronics,251.47
P00017,Do Product,Fashion,37.16
P00018,Win Product,Electronics,39.39
P00019,Through Product,Home,262.7
P00020,A Product,Fashion,182.29
P00021,First Product,Electronics,355.16
P00022,Such Product,Fashion,22.69
P00023,Use Product,Beauty,88.02
P00024,Catch Product,Electronics,144.45
P00025,Beautiful Product,Home,255.99
P00026,Process Product,Fashion,326.99
P00027,Particularly Product,Home,50.91
P00028,Politics Product,Electronics,489.09
P00029,Back Product,Beauty,430.86
P00030,Upon Product,Fashion,259.02
P00031,Strong Product,Sports,427.95
P00032,Ability Product,Home,266.25
P00033,Hard Product,Sports,76.45
P00034,Start Product,Fashion,483.03
P00035,Quickly Product,Home,274.28
P00036,Long Product,Sports,55.25
P00037,Hospital Product,Electronics,382.87
P00038,How Product,Fashion,397.37
P00039,Without Product,Fashion,211.34
P00040,Everything Product,Home,93.64
P00041,Everyone Product,Electronics,290.85
P00042,More Product,Home,415.9
P00043,Cup Product,Electronics,471.33
P00044,From Product,Beauty,470.49
P00045,Talk Product,Sports,316.35
P00046,Front Product,Sports,86.31
P00047,Parent Product,Home,335.58
P00048,Guess Product,Electronics,461.87
P00049,Else Product,Fashion,43.05
P00050,Responsibility Product,Beauty,25.43
P00051,In Product,Electronics,422.48
P00052,These Product,Home,396.3
P00053,Despite Product,Beauty,147.0
P00054,Human Product,Electronics,62.51
P00055,However Product,Fashion,122.2
P00056,About Product,Beauty,429.6
P00057,World Product,Home,362.33
P00058,Cup Product,Beauty,368.86
P00059,Magazine Product,Electronics,328.41
P00060,About Product,Beauty,471.73
P00061,When Product,Sports,233.61
P00062,Call Product,Home,113.65
P00063,Question Product,Electronics,152.03
P00064,Send Product,Sports,403.52
P00065,Common Product,Beauty,228.61
P00066,Form Product,Beauty,367.67
P00067,Way Product,Electronics,48.44
P00068,Range Product,Home,211.0
P00069,Water Product,Sports,317.52
P00070,Rate Product,Electronics,265.81
P00071,Anything Product,Electronics,220.04
P00072,Product Product,Electronics,478.45
P00073,Whole Product,Fashion,124.43
P00074,Finally Product,Beauty,238.79
P00075,Build Product,Electronics,352.07
P00076,Difficult Product,Sports,123.01
P00077,Everybody Product,Beauty,259.06
P00078,Attention Product,Beauty,111.7
P00079,Officer Product,Home,188.2
P00080,Price Product,Electronics,474.61
P00081,Listen Product,Beauty,406.19
P00082,Suddenly Product,Sports,458.22
P00083,Catch Product,Sports,56.7
P00084,Always Product,Home,437.19
P00085,Garden Product,Sports,32.89
P00086,Detail Product,Electronics,184.52
P00087,Follow Product,Home,72.39
P00088,Present Product,Fashion,364.31
P00089,Within Product,Sports,400.92
P00090,Site Product,Sports,475.8
P00091,Seat Product,Sports,452.12
P00092,It Product,Beauty,325.33
P00093,Magazine Product,Fashion,211.13
P00094,Sometimes Product,Home,346.23
P00095,Beautiful Product,Beauty,466.99
P00096,These Product,Home,468.96
P00097,Will Product,Home,121.59
P00098,Policy Product,Fashion,326.53
P00099,Movie Product,Home,249.23
P00100,Pull Product,Sports,334.27
